house_id,building_type,city_id,state_id,num_bedrooms,num_baths,garage_type,electric_dryer,electric_heater,construction_year,total_square_footage,pv_system_size,has_solar,county_id
3687,11,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,0,0.0,FALSE,4171
9160,8,2155,702,0.0,0.0,No garage,FALSE,FALSE,2008,2310,4.5,TRUE,4407
7062,11,16246,702,0.0,0.0,No garage,FALSE,FALSE,0,1401,0.0,FALSE,4171
8733,12,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,0,0.0,FALSE,4171
9213,12,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,0,0.0,FALSE,4171
9775,12,16246,657,0.0,0.0,No garage,FALSE,FALSE,2012,1405,0.0,FALSE,4171
6377,12,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,0,0.0,FALSE,4171
2606,11,16246,657,0.0,0.0,No garage,FALSE,FALSE,2012,1390,0.0,FALSE,4171
3864,11,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,1464,0.0,FALSE,4171
1450,11,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,1575,0.0,FALSE,4171
4934,11,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,1547,0.0,FALSE,4171
6547,11,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,1547,0.0,FALSE,4171
9612,11,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,1555,0.0,FALSE,4171
203,8,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,1555,0.0,FALSE,4171
1524,8,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,2050,0.0,FALSE,4171
3700,10,9462,691,0.0,0.0,No garage,FALSE,FALSE,1975,4794,0.0,FALSE,4397
4550,10,9462,691,0.0,0.0,No garage,TRUE,FALSE,1940,1883,0.0,FALSE,4397
4283,10,9462,691,0.0,0.0,No garage,TRUE,FALSE,1909,1860,0.0,FALSE,4397
1417,10,9462,691,0.0,0.0,No garage,TRUE,FALSE,1965,1877,0.0,FALSE,4397
9836,11,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,0,0.0,TRUE,4171
3000,10,9462,691,1.0,0.0,2 Car,TRUE,FALSE,1951,2193,0.0,TRUE,4397
142,10,18442,691,0.0,0.0,No garage,FALSE,FALSE,2013,1684,0.0,TRUE,4397
1240,10,8202,691,1.0,0.0,No garage,TRUE,TRUE,1977,1498,0.0,TRUE,4397
387,10,9462,691,0.0,0.0,No garage,FALSE,FALSE,2002,2100,0.0,TRUE,4397
3488,10,9462,691,0.0,1.0,No garage,TRUE,TRUE,1940,1368,0.0,TRUE,4397
5679,10,9462,691,1.0,0.0,1 Car,FALSE,FALSE,1955,1694,0.0,TRUE,4397
5587,10,9462,691,0.0,0.0,2 Car,TRUE,FALSE,1990,2326,0.0,TRUE,4397
27,10,3416,691,0.0,0.0,1 Car,FALSE,TRUE,1987,1568,0.0,TRUE,4397
914,10,9462,691,0.0,0.0,No garage,TRUE,FALSE,1958,1716,0.0,TRUE,4397
1222,10,9462,691,0.0,0.0,1 Car,TRUE,TRUE,1958,1750,0.0,TRUE,4397
2358,10,3416,691,0.0,0.0,No garage,FALSE,FALSE,1800,1610,0.0,FALSE,4397
2096,10,9462,691,0.0,0.0,No garage,FALSE,FALSE,1910,1216,0.0,FALSE,4397
5982,10,9462,691,0.0,0.0,No garage,FALSE,FALSE,1860,2694,0.0,FALSE,4397
950,10,9462,691,0.0,0.0,No garage,TRUE,TRUE,2010,5762,0.0,TRUE,4397
558,10,9462,691,0.0,0.0,No garage,TRUE,FALSE,1987,2358,0.0,FALSE,4397
3996,10,18442,691,0.0,0.0,No garage,TRUE,TRUE,1820,1736,0.0,FALSE,4397
3517,10,9462,691,0.0,0.0,1 Car,FALSE,FALSE,1900,2196,0.0,TRUE,4397
9053,10,10455,691,0.0,0.0,No garage,FALSE,FALSE,1995,1879,0.0,FALSE,4397
5058,10,9462,691,0.0,0.0,1 Car,FALSE,FALSE,1984,1764,0.0,TRUE,4397
2318,10,18442,691,0.0,1.0,No garage,TRUE,TRUE,1985,3272,0.0,FALSE,4397
2361,8,2155,702,0.0,1.0,No garage,TRUE,FALSE,2009,3245,0.0,TRUE,4407
8342,11,16246,657,0.0,0.0,No garage,FALSE,FALSE,2012,1401,0.0,FALSE,4171
1731,11,16246,657,0.0,0.0,No garage,FALSE,FALSE,0,1555,0.0,FALSE,4171
4495,12,16246,657,0.0,0.0,No garage,FALSE,FALSE,2012,1087,0.0,FALSE,4171
7719,8,2155,702,1.0,0.0,1 Car,FALSE,FALSE,2008,2919,6.3,TRUE,4407
8565,11,2155,702,0.0,1.0,No garage,TRUE,FALSE,2009,1998,0.0,FALSE,4407
9278,8,2155,702,0.0,0.0,No garage,TRUE,FALSE,2009,3015,6.9,TRUE,4407
8386,8,2155,702,1.0,0.0,No garage,FALSE,FALSE,2007,1720,0.0,FALSE,4407
7800,8,2155,702,1.0,0.0,No garage,FALSE,FALSE,2008,2075,5.145,TRUE,4407
3538,8,2155,702,1.0,1.0,No garage,FALSE,FALSE,2007,1720,5.25,TRUE,4407
7901,8,2155,702,2.0,0.0,No garage,TRUE,FALSE,2007,2122,0.0,FALSE,4407
5997,8,9462,691,0.0,1.0,No garage,TRUE,TRUE,1941,1582,0.0,TRUE,4397
6139,8,2155,702,0.0,0.0,1 Car,TRUE,FALSE,1970,2361,4.42,TRUE,4407
5746,8,2155,702,1.0,0.0,No garage,FALSE,FALSE,1950,1768,0.0,FALSE,4407
8156,8,2155,702,0.0,1.0,1 Car,TRUE,FALSE,2008,2669,6.7,TRUE,4407
4373,8,2155,702,3.0,1.0,1 Car,TRUE,FALSE,2008,2122,6.125,TRUE,4407
7951,8,2155,702,0.0,1.0,No garage,TRUE,TRUE,1971,2148,0.0,FALSE,4407
4767,8,2155,702,0.0,0.0,1 Car,TRUE,FALSE,2008,2710,5.5,TRUE,4407
9922,8,2155,702,3.0,0.0,No garage,TRUE,FALSE,2000,2331,0.0,FALSE,4407
4031,8,2155,702,1.0,0.0,No garage,TRUE,FALSE,2007,1946,6.37,TRUE,4407
3456,8,2155,702,1.0,1.0,No garage,TRUE,FALSE,2008,1720,6.105,TRUE,4407
2818,8,2155,702,1.0,1.0,No garage,FALSE,FALSE,2007,2345,5.39,TRUE,4407
2335,8,2155,702,0.0,0.0,1 Car,TRUE,FALSE,2008,2710,5.92,TRUE,4407
1642,8,2155,702,0.0,1.0,1 Car,TRUE,FALSE,2007,1720,6.37,TRUE,4407
661,8,2155,702,0.0,1.0,1 Car,TRUE,FALSE,2007,1842,6.3,TRUE,4407
9019,8,2155,702,0.0,0.0,No garage,TRUE,FALSE,1990,1613,2.88,TRUE,4407
3039,8,2155,702,0.0,0.0,No garage,TRUE,TRUE,2010,3246,6.25,TRUE,4407
7536,8,2155,702,2.0,0.0,No garage,TRUE,FALSE,2008,2710,6.105,TRUE,4407
